POST;ЧР;часть речи;Parent
NOUN;СУЩ;имя существительное;POST
ADJF;ПРИЛ;имя прилагательное (полное);POST
ADJS;КР_ПРИЛ;имя прилагательное (краткое);POST
COMP;КОМП;компаратив;POST
VERB;ГЛ;глагол (личная форма);POST
INFN;ИНФ;глагол (инфинитив);POST
PRTF;ПРИЧ;причастие (полное);POST
PRTS;КР_ПРИЧ;причастие (краткое);POST
GRND;ДЕЕПР;деепричастие;POST
NUMR;ЧИСЛ;числительное;POST
ADVB;Н;наречие;POST
NPRO;МС;местоимение-существительное;POST
PRED;ПРЕДК;предикатив;POST
PREP;ПР;предлог;POST
CONJ;СОЮЗ;союз;POST
PRCL;ЧАСТ;частица;POST
INTJ;МЕЖД;междометие;POST
ANim;Од-неод;категория одушевлённости;—
anim;од;одушевлённое;ANim
inan;неод;неодушевлённое;ANim
GNdr;хр;род / род не выражен;—
masc;мр;мужской род;ms-f
femn;жр;женский род;ms-f
neut;ср;средний род;GNdr
ms-f;мж;общий род (м/ж);GNdr
NMbr;Число;число;—
sing;ед;единственное число;NMbr
plur;мн;множественное число;NMbr
Sgtm;sg;singularia tantum;—
Pltm;pl;pluralia tantum;—
Fixd;0;неизменяемое;—
CAse;Падеж;категория падежа;—
nomn;им;именительный падеж;CAse
gent;рд;родительный падеж;CAse
datv;дт;дательный падеж;CAse
accs;вн;винительный падеж;CAse
ablt;тв;творительный падеж;CAse
loct;пр;предложный падеж;CAse
voct;зв;звательный падеж;nomn
gen1;рд1;первый родительный падеж;gent
gen2;рд2;второй родительный (частичный) падеж;gent
acc2;вн2;второй винительный падеж;accs
loc1;пр1;первый предложный падеж;loct
loc2;пр2;второй предложный (местный) падеж;loct
Abbr;аббр;аббревиатура;—
Name;имя;имя;—
Surn;фам;фамилия;—
Patr;отч;отчество;—
Geox;гео;топоним;—
Orgn;орг;организация;—
Trad;tm;торговая марка;—
Subx;субст?;возможна субстантивация;—
Supr;превосх;превосходная степень;—
Qual;кач;качественное;—
Apro;мест-п;местоименное;—
Anum;числ-п;порядковое;—
Poss;притяж;притяжательное;—
V-ey;*ею;форма на -ею;—
V-oy;*ою;форма на -ою;—
Cmp2;сравн2;сравнительная степень на по-;—
V-ej;*ей;форма компаратива на -ей;—
ASpc;Вид;категория вида;—
perf;сов;совершенный вид;ASpc
impf;несов;несовершенный вид;ASpc
TRns;Перех;категория переходности;—
tran;перех;переходный;TRns
intr;неперех;непереходный;TRns
Impe;безл;безличный;—
Impx;безл?;возможно безличное употребление;—
Mult;мног;многократный;—
Refl;возвр;возвратный;—
PErs;Лицо;категория лица;—
1per;1л;1 лицо;PErs
2per;2л;2 лицо;PErs
3per;3л;3 лицо;PErs
TEns;Время;категория времени;—
pres;наст;настоящее время;TEns
past;прош;прошедшее время;TEns
futr;буд;будущее время;TEns
MOod;Накл;категория наклонения;—
indc;изъяв;изъявительное наклонение;MOod
impr;повел;повелительное наклонение;MOod
INvl;Совм;категория совместности;—
incl;вкл;говорящий включён (идем, идемте);INvl
excl;выкл;говорящий не включён в действие (иди, идите);INvl
VOic;Залог;категория залога;—
actv;действ;действительный залог;VOic
pssv;страд;страдательный залог;VOic
Infr;разг;разговорное;—
Slng;жарг;жаргонное;—
Arch;арх;устаревшее;—
Litr;лит;литературный вариант;—
Erro;опеч;опечатка;—
Dist;искаж;искажение;—
Ques;вопр;вопросительное;—
Dmns;указ;указательное;—
Prnt;вводн;вводное слово;—
V-be;*ье;форма на -ье;—
V-en;*енен;форма на -енен;—
V-ie;*ие;"форма на -и- (веселие, твердостию); отчество с -ие";—
V-bi;*ьи;форма на -ьи;—
Fimp;*несов;деепричастие от глагола несовершенного вида;—
Prdx;предк?;может выступать в роли предикатива;—
Coun;счетн;счётная форма;—
Coll;собир;собирательное числительное;—
V-sh;*ши;деепричастие на -ши;—
Af-p;*предл;форма после предлога;—
Inmx;не/одуш?;может использоваться как одуш. / неодуш.;—
Vpre;в_предл;Вариант предлога ( со, подо, ...);—
Anph;анаф;Анафорическое (местоимение);—
Init;иниц;Инициал;—
Adjx;прил?;может выступать в роли прилагательного;—
Ms-f;ор;колебание по роду (м/ж/с): кофе, вольво;—
Hypo;гипот;гипотетическая форма слова (победю, асфальтовее);—
